"","Team","Date","TOI","CF","CA","CF60","CA60","CF%","C+/-"
"424","ANA","2011-12-04",50.92,56,51.13,65.99,60.25,52.27,4.87
"425","ANA","2011-12-02",42.58,36.61,37.08,51.59,52.25,49.68,-0.47
"426","ANA","2011-11-30",33.57,29.24,31,52.26,55.41,48.54,-1.76
"427","ANA","2011-11-27",46.44,32.6,46.69,42.12,60.32,41.12,-14.09
"428","ANA","2011-11-25",39.26,25.71,42.73,39.29,65.3,37.57,-17.02
"429","ANA","2011-11-23",40.62,28.79,46.58,42.53,68.8,38.2,-17.79
"430","ANA","2011-11-20",36.91,32.3,48.12,52.5,78.23,40.16,-15.83
"431","ANA","2011-11-17",44.15,47.32,54.59,64.31,74.19,46.44,-7.26
"432","ANA","2011-11-16",41.34,30.83,39.48,44.74,57.3,43.85,-8.65
"433","ANA","2011-11-13",42.69,44.96,50.71,63.19,71.27,47,-5.74
"434","ANA","2011-11-11",39.72,20.59,42.74,31.11,64.57,32.51,-22.15
"435","ANA","2011-11-09",41.48,31.85,46.36,46.07,67.06,40.72,-14.51
"436","ANA","2011-11-05",45.08,21.18,68,28.19,90.5,23.75,-46.82
"437","ANA","2011-11-03",47.15,42.18,34.87,53.68,44.38,54.74,7.31
"438","ANA","2011-11-01",51.22,37.1,48.41,43.46,56.71,43.39,-11.31
"439","ANA","2011-10-30",46.72,30.25,30.44,38.85,39.09,49.84,-0.19
"440","ANA","2011-10-29",47.68,38.69,51.6,48.69,64.94,42.85,-12.91
"441","ANA","2011-10-27",40.55,34.11,27.22,50.47,40.28,55.61,6.89
"442","ANA","2011-10-25",43.82,36.46,41.08,49.93,56.25,47.02,-4.62
"443","ANA","2011-10-23",43.49,29.3,47.81,40.42,65.96,37.99,-18.52
"444","ANA","2011-10-21",50.3,43.39,41.96,51.76,50.06,50.84,1.43
"445","ANA","2011-10-17",43.27,40.84,45.56,56.63,63.18,47.27,-4.72
"446","ANA","2011-10-16",43.61,35.84,41.79,49.3,57.49,46.17,-5.95
"447","ANA","2011-10-14",44.9,39.03,45.25,52.15,60.46,46.31,-6.22
"448","ANA","2011-10-08",37.95,38.72,23.89,61.22,37.78,61.84,14.83
"449","ANA","2011-10-07",40.1,42.85,28.24,64.12,42.26,60.28,14.61
"450","ANA","2011-04-24",50.71,48.36,46.21,57.22,54.67,51.14,2.16
"451","ANA","2011-04-22",53.28,32.32,59.53,36.4,67.04,35.19,-27.21
"452","ANA","2011-04-20",39.55,48.63,34.36,73.78,52.13,58.6,14.27
"453","ANA","2011-04-17",44.51,30.11,52.13,40.59,70.28,36.61,-22.02
"454","ANA","2011-04-15",40.7,31.08,34.88,45.82,51.41,47.12,-3.79
"455","ANA","2011-04-13",40.37,38.13,44.28,56.67,65.82,46.27,-6.15
"456","ANA","2011-04-09",39.19,25.16,38.41,38.52,58.8,39.58,-13.24
"457","ANA","2011-04-08",45.68,36.29,45.03,47.67,59.14,44.63,-8.74
"458","ANA","2011-04-06",44.47,39.53,45.17,53.34,60.95,46.67,-5.64
"459","ANA","2011-04-03",44.41,32.54,43,43.96,58.1,43.08,-10.46
"460","ANA","2011-04-02",54.29,43.1,52.5,47.64,58.03,45.08,-9.4
"461","ANA","2011-03-30",36.44,23.76,40.42,39.12,66.56,37.02,-16.66
"462","ANA","2011-03-28",49.37,44.37,46.31,53.93,56.28,48.93,-1.93
"463","ANA","2011-03-26",51.08,29.88,44.11,35.1,51.82,40.38,-14.23
